Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,178257,7676,161363.0,9218.0,4403,190,931702.0,23014.0,40483797
Albania,274236,3494,270378.0,364.0,95479,1216,1787376.0,622298.0,2872219
Algeria,265730,6874,178327.0,80529.0,5872,152,230861.0,5101.0,45256195
Andorra,40328,153,39702.0,473.0,520469,1975,249838.0,3224382.0,77484
Angola,99194,1900,97149.0,145.0,2860,55,1499795.0,43247.0,34679470
Antigua and Barbuda,7523,135,7367.0,21.0,75708,1359,18901.0,190212.0,99368
Argentina,9056203,128268,8888514.0,39421.0,197166,2793,35657472.0,776311.0,45931949
Armenia,422691,8621,410365.0,3705.0,142173,2900,3003171.0,1010123.0,2973075
Aruba,34189,212,33893.0,84.0,317827,1971,177885.0,1653652.0,107571
Australia,5194725,6644,4624577.0,563504.0,199605,255,67928121.0,2610106.0,26025040
Austria,4004069,16286,3819238.0,168545.0,440123,1790,179667360.0,19748829.0,9097621
Azerbaijan,792289,9703,782375.0,211.0,76911,942,6750860.0,655334.0,10301401
Bahamas,33366,789,32244.0,333.0,83433,1973,229025.0,572686.0,399914
Bahrain,561065,1473,555146.0,4446.0,310588,815,9657213.0,5345938.0,1806458
Bangladesh,1952131,29124,1889605.0,33402.0,11647,174,13900274.0,82936.0,167601817
Barbados,62968,379,59521.0,3068.0,218639,1316,626701.0,2176045.0,288000
Belarus,970750,6882,928536.0,35332.0,102792,729,12973046.0,1373710.0,9443805
Belgium,3943831,31079,3617043.0,295709.0,337681,2661,33220032.0,2844385.0,11679161
Belize,57318,672,56466.0,180.0,139651,1637,529147.0,1289228.0,410437
Benin,26952,163,25506.0,1283.0,2124,13,604310.0,47634.0,12686484
Bermuda,12711,129,12362.0,220.0,205447,2085,848492.0,13714110.0,61870
Bhutan,45056,14,35423.0,9619.0,57273,18,2193107.0,2787769.0,786689
Bolivia,903584,21899,850086.0,31599.0,75578,1832,2688875.0,224905.0,11955630
Bosnia and Herzegovina,376264,15742,192218.0,168304.0,115966,4852,1746113.0,538160.0,3244598
Botswana,305859,2688,303026.0,145.0,125564,1104,2026898.0,832102.0,2435878
Brazil,30183929,661552,29126303.0,396074.0,140233,3074,63776166.0,296300.0,215241599
British Virgin Islands,6162,62,,,201452,2027,102294.0,3344253.0,30588
Brunei,139061,216,136313.0,2532.0,312556,485,717784.0,1613306.0,444915
Bulgaria,1147165,36740,943649.0,166776.0,167332,5359,9715339.0,1417138.0,6855607
Burkina Faso,20853,382,20439.0,32.0,951,17,248995.0,11359.0,21919995
Burundi,38698,38,773.0,37887.0,3091,3,345742.0,27618.0,12518901
CAR,14649,113,6859.0,7677.0,2942,23,81294.0,16328.0,4978786
Cabo Verde,55974,401,55512.0,61.0,98771,708,400982.0,707566.0,566706
Cambodia,135980,3055,132666.0,259.0,7938,178,2939061.0,171578.0,17129632
Cameroon,119780,1927,117791.0,62.0,4321,70,1751774.0,63200.0,27718103
Canada,3590601,38095,3356639.0,195867.0,93677,994,60047384.0,1566608.0,38329563
Caribbean Netherlands,9341,34,8987.0,320.0,350428,1276,30126.0,1130177.0,26656
Cayman Islands,21121,25,8553.0,12543.0,314807,373,222773.0,3320411.0,67092
Chad,7378,192,4874.0,2312.0,427,11,191341.0,11085.0,17261883
Channel Islands,71989,164,69939.0,1886.0,407390,928,1251599.0,7082866.0,176708
Chile,3515878,57094,3244653.0,214131.0,181161,2942,36191093.0,1864801.0,19407481
China,168362,4638,141898.0,21826.0,117,3,160000000.0,111163.0,1439323776
Colombia,6088619,139729,5921750.0,27140.0,117438,2695,34183285.0,659329.0,51845560
Comoros,8100,160,7933.0,7.0,8975,177,,,902468
Congo,24079,385,20178.0,3516.0,4181,67,347815.0,60395.0,5759039
Costa Rica,844892,8357,825599.0,10936.0,163211,1614,4163300.0,804240.0,5176690
Croatia,1109847,15702,1088816.0,5329.0,273339,3867,4727103.0,1164216.0,4060332
Cuba,1097675,8519,1086730.0,2426.0,97016,753,12920253.0,1141936.0,11314344
Curaçao,41153,270,40306.0,577.0,248984,1634,494095.0,2989370.0,165284
Cyprus,461531,987,124370.0,336174.0,377388,807,9477138.0,7749338.0,1222961
Czechia,3868477,39917,3790433.0,38127.0,360051,3715,54938558.0,5113299.0,10744249
DRC,86748,1337,50930.0,34481.0,919,14,846704.0,8970.0,94390601
Denmark,2940998,5932,2898120.0,36946.0,504597,1018,127005063.0,21790684.0,5828411
Djibouti,15595,189,15404.0,2.0,15387,186,301133.0,297122.0,1013500
Dominica,11981,63,11887.0,31.0,165705,871,187088.0,2587555.0,72303
Dominican Republic,578626,4375,574132.0,119.0,52407,396,3251191.0,294465.0,11041006
Ecuador,865263,35508,,,47756,1960,2470170.0,136334.0,18118525
Egypt,511977,24522,442182.0,45273.0,4841,232,3693367.0,34922.0,105759377
El Salvador,162089,4124,150662.0,7303.0,24768,630,1950448.0,298038.0,6544303
Equatorial Guinea,15904,183,15696.0,25.0,10712,123,303365.0,204324.0,1484727
Eritrea,9732,103,9625.0,4.0,2678,28,23693.0,6521.0,3633536
Estonia,565213,2498,496750.0,65965.0,425574,1881,3281218.0,2470575.0,1328119
Eswatini,70014,1395,68554.0,65.0,59259,1181,1008047.0,853203.0,1181486
Ethiopia,470108,7509,453586.0,9013.0,3917,63,4713675.0,39276.0,120015383
Faeroe Islands,34658,28,7693.0,26937.0,704545,569,778000.0,15815580.0,49192
Fiji,64499,834,62644.0,1021.0,71036,919,505948.0,557226.0,907976
Finland,920692,3334,46000.0,871358.0,165711,600,10512930.0,1892176.0,5555999
France,27163629,143625,24344051.0,2675953.0,414523,2192,260504402.0,3975351.0,65529910
French Guiana,79529,394,11254.0,67881.0,254562,1261,613484.0,1963683.0,312415
French Polynesia,72570,648,,,255716,2283,,,283791
Gabon,47588,303,47270.0,15.0,20522,131,1589113.0,685285.0,2318907
Gambia,11990,365,11591.0,34.0,4726,144,155686.0,61364.0,2537094
Georgia,1651969,16779,1631846.0,3344.0,415530,4221,16602816.0,4176205.0,3975575
Germany,22936514,132599,19179300.0,3624615.0,272213,1574,122332384.0,1451852.0,84259518
Ghana,161071,1445,159592.0,34.0,4999,45,2428236.0,75355.0,32223793
Gibraltar,17236,101,16579.0,556.0,511864,2999,534283.0,15866807.0,33673
Greece,3195887,28274,3002224.0,165389.0,309299,2736,76926444.0,7444962.0,10332685
Greenland,11971,21,2761.0,9189.0,210220,369,164926.0,2896233.0,56945
Grenada,14064,219,13793.0,52.0,123968,1930,145445.0,1282030.0,113449
Guadeloupe,140130,854,2250.0,137026.0,350111,2134,938039.0,2343662.0,400245
Guatemala,836234,17400,814383.0,4451.0,45193,940,4335116.0,234284.0,18503654
Guinea,36459,440,35976.0,43.0,2649,32,660107.0,47957.0,13764673
Guinea-Bissau,8175,170,7280.0,725.0,3987,83,131390.0,64076.0,2050521
Guyana,63340,1226,62005.0,109.0,79845,1545,579608.0,730638.0,793290
Haiti,30586,835,29100.0,651.0,2626,72,132422.0,11367.0,11649250
Honduras,421268,10888,131100.0,279280.0,41365,1069,1263329.0,124048.0,10184175
Hong Kong,1193023,8886,,,156875,1168,44972952.0,5913643.0,7604949
Hungary,1874206,45812,1735929.0,92465.0,194889,4764,11225020.0,1167229.0,9616809
Iceland,183974,110,75685.0,108179.0,532989,319,1953616.0,5659801.0,345174
India,43038016,521746,42505410.0,10860.0,30652,372,794525202.0,565866.0,1404087743
Indonesia,6035358,155717,5811666.0,67975.0,21659,559,93452538.0,335367.0,278657588
Iran,7197505,140678,6927042.0,129785.0,83788,1638,50079995.0,582996.0,85901102
Iraq,2322303,25186,2289838.0,7279.0,55526,602,18403689.0,440028.0,41823873
Ireland,1494814,6903,1344730.0,143181.0,296844,1371,11942846.0,2371641.0,5035689
Isle of Man,28416,87,26794.0,1535.0,331065,1014,150753.0,1756373.0,85832
Israel,4011666,10601,3941841.0,59224.0,430159,1137,41373364.0,4436346.0,9326000
Italy,15404809,161032,14015032.0,1228745.0,255452,2670,207155729.0,3435190.0,60304008
Ivory Coast,81834,797,81001.0,36.0,2972,29,1484042.0,53893.0,27537064
Jamaica,129093,2917,82094.0,44082.0,43260,978,955357.0,320148.0,2984111
